# uRwell 2nd prototype - geometry of the 31 HV sections
# Extracted with extract_section_geometry.py from
#   /home/rafopar/work/CLAS12/uRWell/Docs/2ndPrototype/DFS3381_export_v2-18-12-2024/DFS3381_activearea.dxf
# Units: mm, origin at the center of the active area,
# +x = right side of DFS3381_TOP.pdf (HV side of sections 1-16).
# Numbering: 1 ... 16 from the right edge inwards (16 = central
# section), 17 ... 31 from the left edge inwards (31 next to 16).
# Format:  'SECTION <n> <n vertices>' followed by the <x y> vertices
# of the closed polygon (last vertex is NOT repeated).
SECTION 1 29
      266.5925     234.2444
      266.5959     234.2700
      266.6007     234.2816
      266.6084     234.2916
      266.6184     234.2993
      266.6300     234.3041
      266.6556     234.3075
      286.8425     234.3075
      306.3444     234.3075
      306.3700     234.3041
      306.3816     234.2993
      306.3916     234.2917
      306.3993     234.2817
      306.4041     234.2700
      306.4075     234.2444
      306.4075    -260.2425
      306.4041    -260.2681
      306.3993    -260.2797
      306.3916    -260.2897
      306.3816    -260.2974
      306.3700    -260.3022
      306.3444    -260.3055
      286.8425    -260.3055
      266.6556    -260.3055
      266.6300    -260.3022
      266.6184    -260.2973
      266.6084    -260.2897
      266.6007    -260.2797
      266.5959    -260.2680
      266.5925    -260.2425
SECTION 10 30
      225.5925     234.2444
      225.5959     234.2700
      225.6007     234.2816
      225.6084     234.2916
      225.6184     234.2993
      225.6300     234.3041
      225.6556     234.3075
      245.8425     234.3075
      265.3444     234.3075
      265.3700     234.3041
      265.3816     234.2993
      265.3916     234.2917
      265.3993     234.2817
      265.4041     234.2700
      265.4075     234.2444
      265.4075    -260.2425
      265.4041    -260.2681
      265.3993    -260.2797
      265.3916    -260.2897
      265.3816    -260.2974
      265.3700    -260.3022
      265.3444    -260.3055
      245.8425    -260.3055
      225.6556    -260.3055
      225.6300    -260.3022
      225.6184    -260.2973
      225.6084    -260.2897
      225.6007    -260.2797
      225.5959    -260.2680
      225.5925    -260.2425
SECTION 11 30
      184.5925     234.2444
      184.5959     234.2700
      184.6007     234.2816
      184.6084     234.2916
      184.6184     234.2993
      184.6300     234.3041
      184.6556     234.3075
      204.8425     234.3075
      224.3444     234.3075
      224.3700     234.3041
      224.3816     234.2993
      224.3916     234.2917
      224.3993     234.2817
      224.4041     234.2700
      224.4075     234.2444
      224.4075    -260.2425
      224.4041    -260.2681
      224.3993    -260.2797
      224.3916    -260.2897
      224.3816    -260.2974
      224.3700    -260.3022
      224.3444    -260.3055
      204.8425    -260.3055
      184.6556    -260.3055
      184.6300    -260.3022
      184.6184    -260.2973
      184.6084    -260.2897
      184.6007    -260.2797
      184.5959    -260.2680
      184.5925    -260.2425
SECTION 12 30
      143.5925     234.2444
      143.5959     234.2700
      143.6007     234.2816
      143.6084     234.2916
      143.6184     234.2993
      143.6300     234.3041
      143.6556     234.3075
      163.8425     234.3075
      183.3444     234.3075
      183.3700     234.3041
      183.3816     234.2993
      183.3916     234.2917
      183.3993     234.2817
      183.4041     234.2700
      183.4075     234.2444
      183.4075    -260.2425
      183.4041    -260.2681
      183.3993    -260.2797
      183.3916    -260.2897
      183.3816    -260.2974
      183.3700    -260.3022
      183.3444    -260.3055
      163.8425    -260.3055
      143.6556    -260.3055
      143.6300    -260.3022
      143.6184    -260.2973
      143.6084    -260.2897
      143.6007    -260.2797
      143.5959    -260.2680
      143.5925    -260.2425
SECTION 13 30
      102.5925     234.2444
      102.5959     234.2700
      102.6007     234.2816
      102.6084     234.2916
      102.6184     234.2993
      102.6300     234.3041
      102.6556     234.3075
      122.8425     234.3075
      142.3444     234.3075
      142.3700     234.3041
      142.3816     234.2993
      142.3916     234.2917
      142.3993     234.2817
      142.4041     234.2700
      142.4075     234.2444
      142.4075    -260.2425
      142.4041    -260.2681
      142.3993    -260.2797
      142.3916    -260.2897
      142.3816    -260.2974
      142.3700    -260.3022
      142.3444    -260.3055
      122.8425    -260.3055
      102.6556    -260.3055
      102.6300    -260.3022
      102.6184    -260.2973
      102.6084    -260.2897
      102.6007    -260.2797
      102.5959    -260.2680
      102.5925    -260.2425
SECTION 14 30
       61.5925     234.2444
       61.5959     234.2700
       61.6007     234.2816
       61.6084     234.2916
       61.6184     234.2993
       61.6300     234.3041
       61.6556     234.3075
       81.8425     234.3075
      101.3444     234.3075
      101.3700     234.3041
      101.3816     234.2993
      101.3916     234.2917
      101.3993     234.2817
      101.4041     234.2700
      101.4075     234.2444
      101.4075    -260.2425
      101.4041    -260.2681
      101.3993    -260.2797
      101.3916    -260.2897
      101.3816    -260.2974
      101.3700    -260.3022
      101.3444    -260.3055
       81.8425    -260.3055
       61.6556    -260.3055
       61.6300    -260.3022
       61.6184    -260.2973
       61.6084    -260.2897
       61.6007    -260.2797
       61.5959    -260.2680
       61.5925    -260.2425
SECTION 15 30
       20.5925     234.2444
       20.5959     234.2700
       20.6007     234.2816
       20.6084     234.2916
       20.6184     234.2993
       20.6300     234.3041
       20.6556     234.3075
       40.8425     234.3075
       60.3444     234.3075
       60.3700     234.3041
       60.3816     234.2993
       60.3916     234.2917
       60.3993     234.2817
       60.4041     234.2700
       60.4075     234.2444
       60.4075    -260.2425
       60.4041    -260.2681
       60.3993    -260.2797
       60.3916    -260.2897
       60.3816    -260.2974
       60.3700    -260.3022
       60.3444    -260.3055
       40.8425    -260.3055
       20.6556    -260.3055
       20.6300    -260.3022
       20.6184    -260.2973
       20.6084    -260.2897
       20.6007    -260.2797
       20.5959    -260.2680
       20.5925    -260.2425
SECTION 16 56
        0.0000     234.2444
        0.0000     234.2700
        0.0000     234.2816
        0.0000     234.2916
        0.0000     234.2993
        0.0000     234.3041
        0.0000     234.3075
       19.3444     234.3075
       19.3700     234.3041
       19.3816     234.2993
       19.3916     234.2917
       19.3993     234.2817
       19.4041     234.2700
       19.4075     234.2444
       19.4075    -260.2425
       19.4041    -260.2681
       19.3993    -260.2797
       19.3916    -260.2897
       19.3816    -260.2974
       19.3700    -260.3022
       19.3444    -260.3055
        0.0000    -260.3055
        0.0000    -260.3022
        0.0000    -260.2973
        0.0000    -260.2897
        0.0000    -260.2797
        0.0000    -260.2680
        0.0000    -260.2425
        0.0000    -260.2425
        0.0000    -260.2681
        0.0000    -260.2797
        0.0000    -260.2897
        0.0000    -260.2974
        0.0000    -260.3022
        0.0000    -260.3055
      -19.3444    -260.3055
      -19.3700    -260.3022
      -19.3816    -260.2973
      -19.3916    -260.2897
      -19.3993    -260.2797
      -19.4041    -260.2680
      -19.4075    -260.2425
      -19.4075     234.2444
      -19.4041     234.2700
      -19.3993     234.2816
      -19.3916     234.2916
      -19.3816     234.2993
      -19.3700     234.3041
      -19.3444     234.3075
        0.0000     234.3075
        0.0000     234.3041
        0.0000     234.2993
        0.0000     234.2917
        0.0000     234.2817
        0.0000     234.2700
        0.0000     234.2444
SECTION 17 30
     -726.8567     234.2515
     -726.8543     234.2700
     -726.8495     234.2816
     -726.8418     234.2916
     -726.8318     234.2993
     -726.8201     234.3041
     -726.7945     234.3075
     -640.1556     234.3075
     -640.1300     234.3041
     -640.1184     234.2993
     -640.1084     234.2917
     -640.1007     234.2817
     -640.0959     234.2700
     -640.0925     234.2444
     -640.0925      41.6804
     -640.0950      41.6582
     -640.0987      41.6477
     -640.1046      41.6385
     -640.1125      41.6307
     -640.1219      41.6249
     -640.1322      41.6215
     -640.1432      41.6204
     -640.1542      41.6218
     -640.1645      41.6256
     -640.1736      41.6316
     -640.1813      41.6397
     -640.1927      41.6589
     -726.8504     234.2308
     -726.8552     234.2437
     -726.8566     234.2504
SECTION 18 33
     -638.9075     234.2444
     -638.9041     234.2700
     -638.8993     234.2816
     -638.8916     234.2916
     -638.8816     234.2993
     -638.8700     234.3041
     -638.8444     234.3075
     -599.1575     234.3075
     -565.1556     234.3075
     -565.1300     234.3041
     -565.1184     234.2993
     -565.1084     234.2917
     -565.1007     234.2817
     -565.0959     234.2700
     -565.0925     234.2444
     -565.0925    -124.9857
     -565.0950    -125.0078
     -565.0987    -125.0183
     -565.1046    -125.0275
     -565.1125    -125.0353
     -565.1219    -125.0411
     -565.1322    -125.0445
     -565.1432    -125.0456
     -565.1542    -125.0442
     -565.1645    -125.0404
     -565.1736    -125.0344
     -565.1813    -125.0263
     -565.1927    -125.0071
     -599.2032     -49.4287
     -638.9003      38.7868
     -638.9051      38.7998
     -638.9065      38.8064
     -638.9075      38.8209
SECTION 19 33
     -563.9075     234.2444
     -563.9041     234.2700
     -563.8993     234.2816
     -563.8916     234.2916
     -563.8816     234.2993
     -563.8700     234.3041
     -563.8444     234.3075
     -534.1575     234.3075
     -512.6556     234.3075
     -512.6300     234.3041
     -512.6184     234.2993
     -512.6084     234.2917
     -512.6007     234.2817
     -512.5959     234.2700
     -512.5925     234.2444
     -512.5925    -241.6519
     -512.5950    -241.6740
     -512.5987    -241.6845
     -512.6046    -241.6937
     -512.6125    -241.7015
     -512.6219    -241.7073
     -512.6322    -241.7108
     -512.6432    -241.7118
     -512.6542    -241.7104
     -512.6645    -241.7066
     -512.6736    -241.7006
     -512.6813    -241.6926
     -512.6927    -241.6733
     -534.2032    -193.8726
     -563.9003    -127.8792
     -563.9051    -127.8663
     -563.9065    -127.8597
     -563.9075    -127.8452
SECTION 20 33
     -511.4075     234.2444
     -511.4041     234.2700
     -511.3993     234.2816
     -511.3916     234.2916
     -511.3816     234.2993
     -511.3700     234.3041
     -511.3444     234.3075
     -491.1575     234.3075
     -471.6556     234.3075
     -471.6300     234.3041
     -471.6184     234.2993
     -471.6084     234.2917
     -471.6007     234.2817
     -471.5959     234.2700
     -471.5925     234.2444
     -471.5925    -260.2425
     -471.5959    -260.2681
     -471.6007    -260.2797
     -471.6084    -260.2897
     -471.6184    -260.2974
     -471.6300    -260.3022
     -471.6556    -260.3055
     -491.1575    -260.3055
     -504.2644    -260.3055
     -504.2870    -260.3029
     -504.2975    -260.2992
     -504.3068    -260.2931
     -504.3145    -260.2851
     -504.3262    -260.2655
     -511.4003    -244.5454
     -511.4051    -244.5325
     -511.4065    -244.5259
     -511.4075    -244.5114
SECTION 21 30
     -470.4075     234.2444
     -470.4041     234.2700
     -470.3993     234.2816
     -470.3916     234.2916
     -470.3816     234.2993
     -470.3700     234.3041
     -470.3444     234.3075
     -450.1575     234.3075
     -430.6556     234.3075
     -430.6300     234.3041
     -430.6184     234.2993
     -430.6084     234.2917
     -430.6007     234.2817
     -430.5959     234.2700
     -430.5925     234.2444
     -430.5925    -260.2425
     -430.5959    -260.2681
     -430.6007    -260.2797
     -430.6084    -260.2897
     -430.6184    -260.2974
     -430.6300    -260.3022
     -430.6556    -260.3055
     -450.1575    -260.3055
     -470.3444    -260.3055
     -470.3700    -260.3022
     -470.3816    -260.2973
